Paper,Authors,Journal,Peer_reviewed,Year,Link,Experiment_location,Sex,Group,Genus,Species,Strain,Wing_length,Wing_length_info,Rearing_temperature_condition,Temp_data,Rearing_temperature_note,Rearing_density,Larvae_diet,Larval_diet_data,Photoperiod,Notes
"Aeroplane wing, a new recessive autosomal phenotypic marker in the malaria vector, Anopheles stephensi Liston",Ghosh C.;Soumya M.; Kumar N.; Kumar C.R. ; Joshi S.G.; Kumar S.; Subramani S.; Swain S.,Heliyon,Y,2024,https://doi.org/10.1016/j.heliyon.2023.e23693,Lab,Female,Anopheles stephensi,Anopheles,stephensi,Bangalore,3.359,"3.359 mean, 0.03 SD",0,N,0,,Single diet,N,,
"Characterizations of Larval Gut Bacteria of Anopheles subpictus Grassi (1899) and their Role in Mosquito Development in Hooghly, West Bengal, India",Seal M.; Chatterjee S. ,Applied Biochemistry and Biotechnology,Y,2022,https://doi.org/10.1007/s12010-021-03706-6,Mixed,Male,Anopheles subpictus,Anopheles,subpictus,"Hooghly, West Bengal, India",3.45,2.91-3.99 range,0,N,0,,Single diet,N,,
"Characterizations of Larval Gut Bacteria of Anopheles subpictus Grassi (1899) and their Role in Mosquito Development in Hooghly, West Bengal, India",Seal M.; Chatterjee S. ,Applied Biochemistry and Biotechnology,Y,2022,https://doi.org/10.1007/s12010-021-03706-6,Mixed,Female,Anopheles subpictus,Anopheles,subpictus,"Hooghly, West Bengal, India",3.54,3.08-3.99 range,0,N,0,,Single diet,N,,
"Redescription of Armigeres (Armigeres) hybridus (Diptera: Culicidae) based on specimens collected in Lanjak, Sarawak, Malaysia",Toma T.; Miyagi I.; Okazawa T.; Leh M.U.; Wong S.F.,Med. Entomol. Zool,Y,2011,https://doi.org/10.7601/mez.62.225,Field,Male,Armigeres hybridus,Armigeres,hybridus,Edwards,3.53,,0,N,0,,Single diet,N,,
"Redescription of Armigeres (Armigeres) hybridus (Diptera: Culicidae) based on specimens collected in Lanjak, Sarawak, Malaysia",Toma T.; Miyagi I.; Okazawa T.; Leh M.U.; Wong S.F.,Med. Entomol. Zool,Y,2011,https://doi.org/10.7601/mez.62.225,Field,Female,Armigeres hybridus,Armigeres,hybridus,Edwards,3.33,,0,N,0,,Single diet,N,,
"Armigeres (Armigeres) laoensis sp. nov. (Diptera: Culicidae) from Khammouane Province, Lao PDR",Toma T.; Miyagi I.,Med. Entomol. Zool,Y,2003,https://doi.org/10.7601/mez.54.169,Field,Male,Armigeres laoensis,Armigeres,laoensis,Khammouane,4,,0,N,0,,Single diet,N,,
"Population size, parity structure, and wing length of Coquillettidia perturbans in an Ohio focus of eastern equine encephalitis",Nasci R.S.; Berry R.L.; Restifo R.A.; Moore C.G. ,Journal of the American Mosquito Control Association,Y,1996,https://pubmed.ncbi.nlm.nih.gov/8723260/,Field,Female,Coquillettidia perturbans,Coquillettidia,perturbans,Ohio,4.23,"4.23 mean, 0.23 SD",0,N,0,,Single diet,N,,
Olive mill wastewater extract as a potential mosquito larvicide,Halabi M.; Silberbush A.; Azaizeh H.; Shahar B.; Kurzbaum E.,bioRxiv,N,2022,https://doi.org/10.1101/2022.01.18.476713,Field,Male,Culex laticinctus,Culex,laticinctus,Edwards,3.1,,0,N,0,,Single diet,N,,
Olive mill wastewater extract as a potential mosquito larvicide,Halabi M.; Silberbush A.; Azaizeh H.; Shahar B.; Kurzbaum E.,bioRxiv,N,2022,https://doi.org/10.1101/2022.01.18.476713,Field,Female,Culex laticinctus,Culex,laticinctus,Edwards,4,,0,N,0,,Single diet,N,,
"Culex (Culex) longitubus, A New Species of the Mimeticus Subgroup (Diptera: Culicidae) From Bhutan",Somboon P.; Phanitchakun T.; Saingamsook J.; Namgay R.; Harbach R.E.,Journal of Medical Entomology,Y,2021,https://doi.org/10.1093/jme/tjab080,Field,Male,Culex longitubus,Culex,longitubus,Bhutan,4.45,4.3-4.6,0,N,0,,Single diet,N,,
"Culex (Culex) longitubus, A New Species of the Mimeticus Subgroup (Diptera: Culicidae) From Bhutan",Somboon P.; Phanitchakun T.; Saingamsook J.; Namgay R.; Harbach R.E.,Journal of Medical Entomology,Y,2021,https://doi.org/10.1093/jme/tjab080,Field,Female,Culex longitubus,Culex,longitubus,Bhutan,3.85,3.7-4.0,0,N,0,,Single diet,N,,
"Morphometric studies on Culex quinquefasciatus and Mansonia africana (Diptera: Culicidae) in Abeokuta, south-western Nigeria. ",Adeleke M.A.; Mafiana C.F.; Idowu A.B.; Adekunle M.F.; Dansu B.M.,Tanzania Journal of Health Research,Y,2008,https://pubmed.ncbi.nlm.nih.gov/18846788/,Field,Female,Culex quinquefasciatus,Culex,quinquefasciatus,"Abeokuta, Nigeria",2.71,"2.71 mean, 0.12 SD",0,N,0,,Single diet,N,,Population A
"Morphometric studies on Culex quinquefasciatus and Mansonia africana (Diptera: Culicidae) in Abeokuta, south-western Nigeria. ",Adeleke M.A.; Mafiana C.F.; Idowu A.B.; Adekunle M.F.; Dansu B.M.,Tanzania Journal of Health Research,Y,2008,https://pubmed.ncbi.nlm.nih.gov/18846788/,Field,Female,Culex quinquefasciatus,Culex,quinquefasciatus,"Abeokuta, Nigeria",2.91,"2.91 mean, 0.013 SD",0,N,0,,Single diet,N,,Population B
"Morphometric studies on Culex quinquefasciatus and Mansonia africana (Diptera: Culicidae) in Abeokuta, south-western Nigeria. ",Adeleke M.A.; Mafiana C.F.; Idowu A.B.; Adekunle M.F.; Dansu B.M.,Tanzania Journal of Health Research,Y,2008,https://pubmed.ncbi.nlm.nih.gov/18846788/,Field,Female,Culex quinquefasciatus,Culex,quinquefasciatus,"Abeokuta, Nigeria",3.04,"3.04 mean, 0.011 SD",0,N,0,,Single diet,N,,Population C
"Morphometric studies on Culex quinquefasciatus and Mansonia africana (Diptera: Culicidae) in Abeokuta, south-western Nigeria. ",Adeleke M.A.; Mafiana C.F.; Idowu A.B.; Adekunle M.F.; Dansu B.M.,Tanzania Journal of Health Research,Y,2008,https://pubmed.ncbi.nlm.nih.gov/18846788/,Field,Female,Mansonia africana,Mansonia,africana,"Abeokuta, Nigeria",2.76,"2.76 mean, 0.04 SD",0,N,0,,Single diet,N,,Population A
"Morphometric studies on Culex quinquefasciatus and Mansonia africana (Diptera: Culicidae) in Abeokuta, south-western Nigeria. ",Adeleke M.A.; Mafiana C.F.; Idowu A.B.; Adekunle M.F.; Dansu B.M.,Tanzania Journal of Health Research,Y,2008,https://pubmed.ncbi.nlm.nih.gov/18846788/,Field,Female,Mansonia africana,Mansonia,africana,"Abeokuta, Nigeria",2.84,"2.84 mean, 0.013 SD",0,N,0,,Single diet,N,,Population B
"Morphometric studies on Culex quinquefasciatus and Mansonia africana (Diptera: Culicidae) in Abeokuta, south-western Nigeria. ",Adeleke M.A.; Mafiana C.F.; Idowu A.B.; Adekunle M.F.; Dansu B.M.,Tanzania Journal of Health Research,Y,2008,https://pubmed.ncbi.nlm.nih.gov/18846788/,Field,Female,Mansonia africana,Mansonia,africana,"Abeokuta, Nigeria",2.93,"2.93 mean, 0.009 SD",0,N,0,,Single diet,N,,Population C
???????????????????????????????????,Iwaki M.,Japanese Journal of Tropical Medicine and Hygiene,Y,1982,https://doi.org/10.2149/tmh1973.10.197,Field,Female,Mansonia uniformis,Mansonia,uniformis,Theobald,3.95,,0,N,0,,Single diet,N,,
"Differential effects of larval and adult nutrition on female survival, fecundity, and size of the yellow fever mosquito, Aedes aegypti",Yan J.; Kibech R.; Stone C.M.,Frontiers in Zoology,Y,2021,https://doi.org/10.1186/s12983-021-00395-z,Lab,Female,Aedes aegypti,Aedes,aegypti,"Key West, FL",2.76,"2.76 mean, 0.01 SE",27,Y,27,,Multiple diets - High,Y,"12L, 12D",
Variability in the Relationship Between Weight and Wing Length of Anopheles gambiae (Diptera: Culicidae),Koella J.C.; Lyimo E.O.,Journal of Medical Entomology,Y,1996,https://doi.org/10.1093/jmedent/33.2.261,Lab,Female,Anopheles gambiae,Anopheles,gambiae,Galisua,2.87,,27,Y,27,400 larvae/1l,Multiple diets - Low,Y,,
Determination of the efficiency of diets for larval development in mass rearing Aedes aegypti (Diptera: Culicidae),Gunathilaka P.A.D.H.N.; Uduwawala U.M.H.U.; Udayanga N.W.B.A.L.; Ranathunge R.M.T.B.; Amarasinghe L.D.; Abeyewickreme W.,Bulletin of Entomological Research,Y,2018,https://doi.org/10.1017/S0007485317001092,Lab,Male,Aedes aegypti,Aedes,aegypti,Kelaniya,3.75,"3.75 mean, 0.03 SD",27,Y,27,10% wt/vol,Multiple diets - High,Y,"12L, 12D",
Determination of the efficiency of diets for larval development in mass rearing Aedes aegypti (Diptera: Culicidae),Gunathilaka P.A.D.H.N.; Uduwawala U.M.H.U.; Udayanga N.W.B.A.L.; Ranathunge R.M.T.B.; Amarasinghe L.D.; Abeyewickreme W.,Bulletin of Entomological Research,Y,2018,https://doi.org/10.1017/S0007485317001092,Lab,Female,Aedes aegypti,Aedes,aegypti,Kelaniya,4.8,"4.8 mean, 0.03 SD",27,Y,27,10% wt/vol,Multiple diets - High,Y,"12L, 12D",
"Small mosquitoes, large implications: crowding and starvation affects gene expression and nutrient accumulation in Aedes aegypti",Price D.P.; Schilkey F.D.; Ulanov A.; Hansen I.A.,Parasites & Vectors,Y,2015,https://doi.org/10.1186/s13071-015-0863-9,Lab,Female,Aedes aegypti,Aedes,aegypti,Rockefeller,3.31,"3.31 mean, 0.16 SD",27,Y,27,100 larvae/ 750ml,Multiple diets - High,Y,,
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Male,Aedes aegypti,Aedes,aegypti,Moshi,2.9,,20,Y,20,,Multiple diets - High,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Male,Aedes aegypti,Aedes,aegypti,Moshi,2.8,,25,Y,25,,Multiple diets - High,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Male,Aedes aegypti,Aedes,aegypti,Moshi,2.5,,30,Y,30,,Multiple diets - High,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Male,Aedes aegypti,Aedes,aegypti,Moshi,2.4,,35,Y,35,,Multiple diets - High,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Female,Aedes aegypti,Aedes,aegypti,Moshi,3.15,,20,Y,20,,Multiple diets - High,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Female,Aedes aegypti,Aedes,aegypti,Moshi,2.9,,25,Y,25,,Multiple diets - High,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Female,Aedes aegypti,Aedes,aegypti,Moshi,2.65,,30,Y,30,,Multiple diets - High,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Female,Aedes aegypti,Aedes,aegypti,Moshi,2.35,,35,Y,35,,Multiple diets - High,Y,"14L, 10D",
Influence of adult body size on blood feeding behavior and eggs retention in Aedes albopictus (Diptera: Culicidae),Yamany A. S.; Abdel-Gaber R.,Microscopy Research and Technique,Y,2024,https://doi.org/10.1002/jemt.24614 ,Lab,Female,Aedes albopictus,Aedes,albopictus,"Heinrich Heine University, Germany",3.08,"3.08 mean, 0.028 SE",25,Y,25,,Multiple diets - High,Y,,
Larval diet and temperature alter mosquito immunity and development: using body size and developmental traits to track carry-over effects on longevity,Mackay A. J.; Yan J.; Kim C.H.; Barreaux A.M.G.; Stone C.M.,Parasites & Vectors,Y,2023,https://doi.org/10.1186/s13071-023-06037-z,Lab,Female,Aedes albopictus,Aedes,albopictus,Ohio,2.59,,20,Y,20,"70 larvae/700ml, 20mg TetraMin topical flakes",Multiple diets - High,Y,"16L, 8D",
Larval diet and temperature alter mosquito immunity and development: using body size and developmental traits to track carry-over effects on longevity,Mackay A. J.; Yan J.; Kim C.H.; Barreaux A.M.G.; Stone C.M.,Parasites & Vectors,Y,2023,https://doi.org/10.1186/s13071-023-06037-z,Lab,Female,Aedes albopictus,Aedes,albopictus,Ohio,2.51,,25,Y,25,"70 larvae/700ml, 20mg TetraMin topical flakes",Multiple diets - High,Y,"16L, 8D",
Larval diet and temperature alter mosquito immunity and development: using body size and developmental traits to track carry-over effects on longevity,Mackay A. J.; Yan J.; Kim C.H.; Barreaux A.M.G.; Stone C.M.,Parasites & Vectors,Y,2023,https://doi.org/10.1186/s13071-023-06037-z,Lab,Female,Aedes albopictus,Aedes,albopictus,Ohio,2.5,,30,Y,30,"70 larvae/700ml, 20mg TetraMin topical flakes",Multiple diets - High,Y,"16L, 8D",
Larval Competition Differentially Affects Arbovirus Infection In Aedes Mosquitoes,Alto B.W.; Lounibos L.P.; Higgs S.; Juliano S.A.,Ecology,Y,2005,https://doi.org/10.1890/05-0209,Lab,Female,Aedes albopictus,Aedes,albopictus,Lake Charles,2.52,,28,Y,28,160 larvae per container,Multiple diets - High,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Male,Aedes albopictus,Aedes,albopictus,Nagasaki,2.4,,20,Y,20,,Multiple diets - High,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Male,Aedes albopictus,Aedes,albopictus,Nagasaki,2.25,,25,Y,25,,Multiple diets - High,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Male,Aedes albopictus,Aedes,albopictus,Nagasaki,2.15,,30,Y,30,,Multiple diets - High,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Male,Aedes albopictus,Aedes,albopictus,Nagasaki,2,,35,Y,35,,Multiple diets - High,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Female,Aedes albopictus,Aedes,albopictus,Nagasaki,2.5,,20,Y,20,,Multiple diets - High,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Female,Aedes albopictus,Aedes,albopictus,Nagasaki,2.3,,25,Y,25,,Multiple diets - High,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Female,Aedes albopictus,Aedes,albopictus,Nagasaki,2.05,,30,Y,30,,Multiple diets - High,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Female,Aedes albopictus,Aedes,albopictus,Nagasaki,1.9,,35,Y,35,,Multiple diets - High,Y,"14L, 10D",
Variability in the Relationship Between Weight and Wing Length of Anopheles gambiae (Diptera: Culicidae),Koella J.C.; Lyimo E.O.,Journal of Medical Entomology,Y,1996,https://doi.org/10.1093/jmedent/33.2.261,Lab,Female,Anopheles gambiae,Anopheles,gambiae,Galisua,2.99,,24,Y,24,100 larvae/1l,Multiple diets - High,Y,,
Variability in the Relationship Between Weight and Wing Length of Anopheles gambiae (Diptera: Culicidae),Koella J.C.; Lyimo E.O.,Journal of Medical Entomology,Y,1996,https://doi.org/10.1093/jmedent/33.2.261,Lab,Female,Anopheles gambiae,Anopheles,gambiae,Galisua,2.82,,27,Y,27,100 larvae/1l,Multiple diets - High,Y,,
Variability in the Relationship Between Weight and Wing Length of Anopheles gambiae (Diptera: Culicidae),Koella J.C.; Lyimo E.O.,Journal of Medical Entomology,Y,1996,https://doi.org/10.1093/jmedent/33.2.261,Lab,Female,Anopheles gambiae,Anopheles,gambiae,Galisua,2.73,,30,Y,30,100 larvae/1l,Multiple diets - High,Y,,
Native Wolbachia infection and larval competition stress shape fitness and West Nile virus infection in Culex quinquefasciatus mosquitoes,Alomar A.A.; Pérez-Ramos D.W.; Kim D.; Kendziorski N.L.; Eastmond B.H.; Alto B.W.; Caragata E.P.,Frontiers in Microbiology,Y,2023,https://doi.org/10.3389/fmicb.2023.1138476,Lab,Female,Culex quinquefasciatus,Culex,quinquefasciatus,Florida,3.4,,26,Y,26,100 larvae/2L,Multiple diets - High,Y,"12L, 12D",
"Differential effects of larval and adult nutrition on female survival, fecundity, and size of the yellow fever mosquito, Aedes aegypti",Yan J.; Kibech R.; Stone C.M.,Frontiers in Zoology,Y,2021,https://doi.org/10.1186/s12983-021-00395-z,Lab,Female,Aedes aegypti,Aedes,aegypti,"Key West, FL",2.49,"2.49 mean, 0.01 SE",27,Y,27,,Multiple diets - Low,Y,"12L, 12D",
"Nutritional stress compromises mosquito fitness and antiviral immunity, while enhancing dengue virus infection susceptibility",Yan J.; Kim C.H.; Chesser L.; Ramirez J.L.; Stone C.M.,Nature Communications Biology,Y,2023,https://doi.org/10.1038/s42003-023-05516-4,Lab,Female,Aedes aegypti,Aedes,aegypti,"Key West, FL",2.57,"2.57 mean, 0.01 SE",27,Y,27,,Multiple diets - Low,Y,"12L, 12D",
Determination of the efficiency of diets for larval development in mass rearing Aedes aegypti (Diptera: Culicidae),Gunathilaka P.A.D.H.N.; Uduwawala U.M.H.U.; Udayanga N.W.B.A.L.; Ranathunge R.M.T.B.; Amarasinghe L.D.; Abeyewickreme W.,Bulletin of Entomological Research,Y,2018,https://doi.org/10.1017/S0007485317001092,Lab,Male,Aedes aegypti,Aedes,aegypti,Kelaniya,3.42,"3.42 mean, 0.02 SD",27,Y,27,2% wt/vol,Multiple diets - Low,Y,"12L, 12D",
Determination of the efficiency of diets for larval development in mass rearing Aedes aegypti (Diptera: Culicidae),Gunathilaka P.A.D.H.N.; Uduwawala U.M.H.U.; Udayanga N.W.B.A.L.; Ranathunge R.M.T.B.; Amarasinghe L.D.; Abeyewickreme W.,Bulletin of Entomological Research,Y,2018,https://doi.org/10.1017/S0007485317001092,Lab,Female,Aedes aegypti,Aedes,aegypti,Kelaniya,4.05,"4.05 mean, 0.04 SD",27,Y,27,2% wt/vol,Multiple diets - Low,Y,"12L, 12D",
"Small mosquitoes, large implications: crowding and starvation affects gene expression and nutrient accumulation in Aedes aegypti",Price D.P.; Schilkey F.D.; Ulanov A.; Hansen I.A.,Parasites & Vectors,Y,2015,https://doi.org/10.1186/s13071-015-0863-9,Lab,Female,Aedes aegypti,Aedes,aegypti,Rockefeller,2.73,"2.73 mean, 0.07 SD",27,Y,27,750 larvae/ 750ml,Multiple diets - Low,Y,,
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Male,Aedes aegypti,Aedes,aegypti,Moshi,2.6,,20,Y,20,,Multiple diets - Low,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Male,Aedes aegypti,Aedes,aegypti,Moshi,2.5,,25,Y,25,,Multiple diets - Low,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Male,Aedes aegypti,Aedes,aegypti,Moshi,2.25,,30,Y,30,,Multiple diets - Low,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Male,Aedes aegypti,Aedes,aegypti,Moshi,2.15,,35,Y,35,,Multiple diets - Low,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Female,Aedes aegypti,Aedes,aegypti,Moshi,2.65,,20,Y,20,,Multiple diets - Low,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Female,Aedes aegypti,Aedes,aegypti,Moshi,2.5,,25,Y,25,,Multiple diets - Low,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Female,Aedes aegypti,Aedes,aegypti,Moshi,2.25,,30,Y,30,,Multiple diets - Low,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Female,Aedes aegypti,Aedes,aegypti,Moshi,2.05,,35,Y,35,,Multiple diets - Low,Y,"14L, 10D",
Influence of adult body size on blood feeding behavior and eggs retention in Aedes albopictus (Diptera: Culicidae),Yamany A.S.; Abdel-Gaber R.,Microscopy Research and Technique,Y,2024,https://doi.org/10.1002/jemt.24614 ,Lab,Female,Aedes albopictus,Aedes,albopictus,"Heinrich Heine University, Germany",2.41,"2.41 mean, 0.013 SE",25,Y,25,,Multiple diets - Low,Y,,
Larval diet and temperature alter mosquito immunity and development: using body size and developmental traits to track carry-over effects on longevity,Mackay A. J.; Yan J.; Kim C.H.; Barreaux A.M.G.; Stone C.M.,Parasites & Vectors,Y,2023,https://doi.org/10.1186/s13071-023-06037-z,Lab,Female,Aedes albopictus,Aedes,albopictus,Ohio,2.42,,20,Y,20,"70 larvae/700ml, 10mg TetraMin topical flakes",Multiple diets - Low,Y,"16L, 8D",
Larval diet and temperature alter mosquito immunity and development: using body size and developmental traits to track carry-over effects on longevity,Mackay A. J.; Yan J.; Kim C.H.; Barreaux A.M.G.; Stone C.M.,Parasites & Vectors,Y,2023,https://doi.org/10.1186/s13071-023-06037-z,Lab,Female,Aedes albopictus,Aedes,albopictus,Ohio,2.24,,25,Y,25,"70 larvae/700ml, 10mg TetraMin topical flakes",Multiple diets - Low,Y,"16L, 8D",
Larval diet and temperature alter mosquito immunity and development: using body size and developmental traits to track carry-over effects on longevity,Mackay A. J.; Yan J.; Kim C.H.; Barreaux A.M.G.; Stone C.M.,Parasites & Vectors,Y,2023,https://doi.org/10.1186/s13071-023-06037-z,Lab,Female,Aedes albopictus,Aedes,albopictus,Ohio,2.07,,30,Y,30,"70 larvae/700ml, 10mg TetraMin topical flakes",Multiple diets - Low,Y,"16L, 8D",
Larval Competition Differentially Affects Arbovirus Infection In Aedes Mosquitoes,Alto B.W.; Lounibos L.P.; Higgs S.; Juliano S.A.,Ecology,Y,2005,https://doi.org/10.1890/05-0209,Lab,Female,Aedes albopictus,Aedes,albopictus,Lake Charles,2.21,,28,Y,28,320 larvae per container,Multiple diets - Low,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Male,Aedes albopictus,Aedes,albopictus,Nagasaki,2.15,,20,Y,20,,Multiple diets - Low,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Male,Aedes albopictus,Aedes,albopictus,Nagasaki,2.05,,25,Y,25,,Multiple diets - Low,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Male,Aedes albopictus,Aedes,albopictus,Nagasaki,1.8,,30,Y,30,,Multiple diets - Low,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Male,Aedes albopictus,Aedes,albopictus,Nagasaki,1.75,,35,Y,35,,Multiple diets - Low,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Female,Aedes albopictus,Aedes,albopictus,Nagasaki,2.1,,20,Y,20,,Multiple diets - Low,Y,"14L, 10D",
Effects of temperature and diet on development and interspecies competition in Aedes aegypti and Aedes albopictus,Farjana T.; Tuno N.; Higa Y.,Medical and Veterinary Entomology,Y,2011,https://doi.org/10.1111/j.1365-2915.2011.00971.x,Lab,Female,Aedes albopictus,Aedes,albopictus,Nagasaki,2,,25,Y,25,,Multiple diets - Low,Y,"14L, 10D",
